epoch,train_loss,valid_loss,learning_rate
1,0.24297116827326334,0.2075486183166504,0.001
2,0.09709862292373365,0.12347158789634705,0.001
3,0.07758547800516166,0.11490605771541595,0.001
4,0.06960269500511354,0.10727550089359283,0.001
5,0.06627395136840794,0.10750512033700943,0.001
6,0.06557446459669221,0.10691634565591812,0.001
7,0.0629652819887888,0.10688666254281998,0.001
8,0.06287658337323956,0.10529758036136627,0.001
9,0.06131037733931085,0.10355283319950104,0.001
10,0.05991104981532276,0.10856157541275024,0.001
11,0.059024973735761564,0.10340122878551483,0.001
12,0.05734048397725757,0.10339316725730896,0.001
13,0.0555303531341736,0.10515877604484558,0.001
14,0.05912819136716943,0.10310250520706177,0.001
15,0.05711291868206135,0.10580053180456161,0.001
16,0.05868691997153293,0.1046602874994278,0.001
17,0.056243351187164045,0.10639575868844986,0.001
18,0.05552849351129177,0.10248450189828873,0.001
19,0.05530456431874075,0.10493181645870209,0.001
20,0.05655177050892291,0.10414469242095947,0.001
21,0.05457449835022258,0.10386853665113449,0.001
22,0.054537360375642,0.1092347502708435,0.0005
23,0.05304461530823251,0.10816332697868347,0.0005
24,0.0529680417316036,0.1015397235751152,0.0005
25,0.052762839930072636,0.10274025797843933,0.0005
26,0.05322091147815314,0.1032998263835907,0.0005
27,0.051365894569618625,0.10435300320386887,0.0005
28,0.05333536405143734,0.10273638367652893,0.00025
29,0.05174602978814847,0.10312052816152573,0.00025
30,0.051261998469334394,0.10222767293453217,0.00025
31,0.05220211674128023,0.10275999456644058,0.00025
32,0.05260345965733512,0.10318809747695923,0.000125
