epoch,train_loss,valid_loss,learning_rate
1,0.22877328502457472,0.4532943069934845,0.001
2,0.2266792768051541,0.4528709948062897,0.001
3,0.2258527896418151,0.4524167478084564,0.001
4,0.23148922850308123,0.4518982470035553,0.001
5,0.22592752568932023,0.4516182839870453,0.001
6,0.22663056810267157,0.45069438219070435,0.001
7,0.22441235772286,0.44987499713897705,0.001
8,0.22133846669744534,0.4496572017669678,0.001
9,0.2268007815231301,0.4492514431476593,0.001
10,0.22414537848728072,0.44953811168670654,0.001
11,0.22566659396976083,0.44982990622520447,0.001
12,0.22427025086768654,0.45007652044296265,0.001
13,0.22096806213185316,0.4505996108055115,0.0005
14,0.21988081530901835,0.45070546865463257,0.0005
15,0.22350263393758338,0.45072391629219055,0.0005
