variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,initialized_from_degraded,backbone_lr_scale,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,disable_neighbor_rmse_ugm3,disable_neighbor_mae_ugm3,zero_neighbor_rmse_ugm3,zero_neighbor_mae_ugm3,shuffle_neighbor_rmse_ugm3,shuffle_neighbor_mae_ugm3,center_copy_neighbor_rmse_ugm3,center_copy_neighbor_mae_ugm3,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm,spatial_forecast_weight_norm,fusion_stage
degraded_patchtst,2042,22,0.10344333946704865,13.171027579999645,0.016001028998289257,test,21267,21264,False,1.0,0.0849824994802475,0.2915175800534978,0.13780087232589722,21.72380828857422,10.268882751464844,16.87395477294922,21.72380828857422,10.268882751464844,21.72380828857422,10.268882751464844,21.72380828857422,10.268882751464844,21.72380828857422,10.268882751464844,0.0,0.0,0.9995946288108826,0.04684095457196236,0.001784642692655325,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2042,22,0.0957254096865654,10.501847074003308,0.01677775999996811,test,21268,4622,True,0.0,0.0794651210308075,0.281895585334016,0.13572487235069275,21.006778717041016,10.114178657531738,17.19806671142578,21.773311614990234,10.225191116333008,22.452917098999023,11.938100814819336,22.825977325439453,12.493327140808105,21.8641414642334,10.400678634643555,0.1255820393562317,0.051106309998293464,0.6915947198867798,0.07437645643949509,0.04236222431063652,0.0,0.6382876038551331,forecast
degraded_patchtst,2043,32,0.1010371670126915,17.044074739998905,0.016153654003574047,test,21267,21264,False,1.0,0.08168730139732361,0.285809904302359,0.13520653545856476,21.298471450805664,10.075552940368652,16.32715606689453,21.298471450805664,10.075552940368652,21.298471450805664,10.075552940368652,21.298471450805664,10.075552940368652,21.298471450805664,10.075552940368652,0.0,0.0,0.9995639324188232,0.050391849130392075,0.002494524698704481,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2043,32,0.09171942621469498,14.176386677994742,0.01617880900448654,test,21268,4622,True,0.0,0.0760110467672348,0.2757010097319827,0.1329849660396576,20.545162200927734,9.910002708435059,16.660869598388672,21.280029296875,10.064574241638184,22.215614318847656,12.019157409667969,22.75819206237793,12.989557266235352,21.26875114440918,10.133325576782227,0.13579484820365906,0.053321059298400204,0.69022136926651,0.06543499231338501,0.03423473611474037,0.0,0.8352906107902527,forecast
degraded_patchtst,2044,9,0.10406233370304108,7.1203282909991685,0.026111458006198518,test,21267,21264,False,1.0,0.08333301544189453,0.2886745839901645,0.13546757400035858,21.511947631835938,10.09500503540039,16.158489227294922,21.511947631835938,10.09500503540039,21.511947631835938,10.09500503540039,21.511947631835938,10.09500503540039,21.511947631835938,10.09500503540039,0.0,0.0,0.999579906463623,0.05384242162108421,0.002262006513774395,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2044,21,0.09707716107368469,9.88635854399763,0.01620943599846214,test,21268,4622,True,0.0,0.07912685722112656,0.2812949647987439,0.13483849167823792,20.962020874023438,10.048126220703125,16.506715774536133,21.505916595458984,10.14935302734375,22.339942932128906,11.933133125305176,22.763465881347656,12.715989112854004,21.515962600708008,10.24613094329834,0.12441336363554001,0.04218345800049265,0.6952372193336487,0.06859559565782547,0.036009255796670914,0.0,0.679599404335022,forecast
degraded_patchtst,2045,14,0.10119608044624329,9.299516045997734,0.035779377998551354,test,21267,21264,False,1.0,0.08100087195634842,0.28460652128218783,0.13531924784183502,21.208797454833984,10.083951950073242,15.9989595413208,21.208797454833984,10.083951950073242,21.208797454833984,10.083951950073242,21.208797454833984,10.083951950073242,21.208797454833984,10.083951950073242,0.0,0.0,0.9993892908096313,0.0534784272313118,0.0031612988095730543,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2045,30,0.09104463458061218,12.939893802998995,0.016186501998163294,test,21268,4622,True,0.0,0.07550027221441269,0.27477312862507625,0.1332838237285614,20.476016998291016,9.932272911071777,16.83796501159668,21.187532424926758,9.980443954467773,22.18902587890625,12.249825477600098,22.674402236938477,13.026047706604004,21.245559692382812,10.194046974182129,0.13647714257240295,0.050815727024393076,0.690019428730011,0.06654644012451172,0.036636557430028915,0.0,0.8552350997924805,forecast
degraded_patchtst,2046,22,0.10304822772741318,12.44121688100131,0.015301585997804068,test,21267,21264,False,1.0,0.08305749297142029,0.2881969690531465,0.1362185925245285,21.476356506347656,10.150971412658691,16.057451248168945,21.476356506347656,10.150971412658691,21.476356506347656,10.150971412658691,21.476356506347656,10.150971412658691,21.476356506347656,10.150971412658691,0.0,0.0,0.9994850158691406,0.06106311455368996,0.0019728473853319883,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2046,27,0.09348531067371368,12.208972774002177,0.016319069000019226,test,21268,4622,True,0.0,0.07775629311800003,0.2788481542309363,0.13347379863262177,20.77968406677246,9.946430206298828,16.8528995513916,21.4825439453125,10.075605392456055,22.544836044311523,12.357413291931152,22.97978401184082,13.080900192260742,21.479759216308594,10.175743103027344,0.1300060898065567,0.05018164805919409,0.6957890391349792,0.08912594616413116,0.03827125206589699,0.0,0.794546902179718,forecast
