variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,initialized_from_degraded,backbone_lr_scale,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,disable_neighbor_rmse_ugm3,disable_neighbor_mae_ugm3,zero_neighbor_rmse_ugm3,zero_neighbor_mae_ugm3,shuffle_neighbor_rmse_ugm3,shuffle_neighbor_mae_ugm3,center_copy_neighbor_rmse_ugm3,center_copy_neighbor_mae_ugm3,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm,spatial_forecast_weight_norm,fusion_stage
degraded_patchtst,2047,11,0.1042434498667717,8.302652310994745,0.01554263800062472,test,21267,21264,False,1.0,0.0837446004152298,0.289386593357795,0.13629239797592163,21.56500816345215,10.156471252441406,16.107494354248047,21.56500816345215,10.156471252441406,21.56500816345215,10.156471252441406,21.56500816345215,10.156471252441406,21.56500816345215,10.156471252441406,0.0,0.0,0.9999276399612427,0.05187986046075821,0.00101299153175205,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2047,22,0.09572873264551163,10.577357210000628,0.0179381799971452,test,21268,4622,True,0.0,0.07899226993322372,0.2810556349430193,0.13429255783557892,20.94418716430664,10.00744342803955,16.6477108001709,21.589942932128906,10.108580589294434,22.23554229736328,12.011446952819824,22.59166717529297,12.564018249511719,21.59506607055664,10.137523651123047,0.1230500191450119,0.04922761804265965,0.5982604622840881,0.09956007450819016,0.04358609765768051,0.0,0.6986783146858215,forecast
degraded_patchtst,2048,26,0.10230337828397751,14.311253289000888,0.015374234004411846,test,21267,21264,False,1.0,0.08203521370887756,0.28641790046866406,0.13517586886882782,21.343778610229492,10.073267936706543,16.055925369262695,21.343778610229492,10.073267936706543,21.343778610229492,10.073267936706543,21.343778610229492,10.073267936706543,21.343778610229492,10.073267936706543,0.0,0.0,0.9992644786834717,0.05575714632868767,0.0032592560164630413,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2048,35,0.09248994290828705,13.626628972997423,0.016121781001857016,test,21268,4622,True,0.0,0.07710976898670197,0.277686458054227,0.13475240767002106,20.693115234375,10.04171085357666,16.878276824951172,21.352243423461914,10.07297420501709,22.192241668701172,12.008000373840332,22.69209098815918,12.852657318115234,21.3620662689209,10.117831230163574,0.1325250118970871,0.052881154542501176,0.5995001792907715,0.1105591356754303,0.03827507421374321,0.0,0.8095627427101135,forecast
degraded_patchtst,2049,21,0.10180627554655075,12.313103137006692,0.017248243995709345,test,21267,21264,False,1.0,0.0806269496679306,0.2839488504430518,0.1361839771270752,21.159788131713867,10.148390769958496,16.350868225097656,21.159788131713867,10.148390769958496,21.159788131713867,10.148390769958496,21.159788131713867,10.148390769958496,21.159788131713867,10.148390769958496,0.0,0.0,0.9992167949676514,0.05562260374426842,0.0033338323701173067,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2049,37,0.0938148945569992,13.553208220997476,0.016219507000641897,test,21268,4622,True,0.0,0.07549205422401428,0.2747581740804344,0.13393744826316833,20.474903106689453,9.98098087310791,16.58139991760254,21.1573543548584,10.12006950378418,22.067380905151367,12.223950386047363,22.556642532348633,12.863627433776855,21.100379943847656,10.125375747680664,0.1325102299451828,0.051302423812570816,0.5979059934616089,0.10396876931190491,0.037610121071338654,0.0,0.7301656603813171,forecast
degraded_patchtst,2050,21,0.10196765512228012,11.98529279899958,0.015150201004871633,test,21267,21264,False,1.0,0.08137976378202438,0.2852713861957143,0.1364893764257431,21.258342742919922,10.171150207519531,16.264633178710938,21.258342742919922,10.171150207519531,21.258342742919922,10.171150207519531,21.258342742919922,10.171150207519531,21.258342742919922,10.171150207519531,0.0,0.0,0.9993954300880432,0.0504380501806736,0.0026568009052425623,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2050,35,0.0920087993144989,13.740403541996784,0.01620120600273367,test,21268,4622,True,0.0,0.07581940293312073,0.27535323301737485,0.13473956286907196,20.519243240356445,10.040754318237305,16.876834869384766,21.24395751953125,10.1361665725708,22.13815689086914,12.170679092407227,22.68324089050293,13.047099113464355,21.218910217285156,10.19176197052002,0.13426770269870758,0.05393665253330319,0.5938640236854553,0.09674134105443954,0.041052404791116714,0.0,0.7512466311454773,forecast
degraded_patchtst,2051,18,0.10175223648548126,10.849692726005742,0.015381670003989711,test,21267,21264,False,1.0,0.08030132949352264,0.28337489213676403,0.133623868227005,21.117015838623047,9.957612037658691,15.826582908630371,21.117015838623047,9.957612037658691,21.117015838623047,9.957612037658691,21.117015838623047,9.957612037658691,21.117015838623047,9.957612037658691,0.0,0.0,0.9996113181114197,0.04549453780055046,0.001659598434343934,0.0,0.0,input
st_sparse_station_bias_delta_forecast,2051,20,0.09391454607248306,9.705990465001378,0.016345059004379436,test,21268,4622,True,0.0,0.07562880963087082,0.2750069265143531,0.13201157748699188,20.493436813354492,9.837465286254883,16.245609283447266,21.118864059448242,9.944293022155762,21.840566635131836,11.62292194366455,22.301931381225586,12.393227577209473,21.08095359802246,9.938223838806152,0.12353792786598206,0.04818019703264076,0.592509388923645,0.07700424641370773,0.04597671702504158,0.0,0.7072666883468628,forecast
