variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,initialized_from_degraded,backbone_lr_scale,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,disable_neighbor_rmse_ugm3,disable_neighbor_mae_ugm3,zero_neighbor_rmse_ugm3,zero_neighbor_mae_ugm3,shuffle_neighbor_rmse_ugm3,shuffle_neighbor_mae_ugm3,center_copy_neighbor_rmse_ugm3,center_copy_neighbor_mae_ugm3,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm,spatial_forecast_weight_norm,fusion_stage,arm,freeze_backbone
degraded_patchtst,2047,1,1.0122437477111816,11.482768720001332,0.06318114200075797,test,31092,31089,False,1.0,0.6628823280334473,0.8141758581740478,0.6063149571418762,60.51820755004883,45.067771911621094,61.01066589355469,64.34549713134766,48.045684814453125,67.01008605957031,48.838626861572266,104.08941650390625,52.52157211303711,833.0418701171875,115.83369445800781,0.0,0.0,0.994554877281189,0.046070199459791183,0.01037908997386694,0.0,0.0,input,degraded_patchtst,False
st_sparse_station_bias_delta_forecast,2047,8,2.123771905899048,23.088721543001157,0.06358804800038342,test,31093,31090,False,1.0,4661190144.0,68272.90929790527,2510.158935546875,5074769.0,186581.71875,76.88169860839844,80.11112213134766,65.49051666259766,79.99613952636719,65.51649475097656,80.0657958984375,65.62730407714844,80.3884506225586,65.81070709228516,0.101594939827919,0.022580969490742144,0.6183075308799744,0.18458345532417297,0.05566086992621422,0.0,0.2719314694404602,forecast,st_sparse_station_bias_delta_forecast,False
degraded_patchtst,2048,30,0.46500107645988464,49.153209627998876,0.06088128400006099,test,31092,31089,False,1.0,0.34373053908348083,0.5862853734176564,0.36013859510421753,43.57896423339844,26.769329071044922,41.4326171875,43.57896423339844,26.769329071044922,43.57896423339844,26.769329071044922,43.57896423339844,26.769329071044922,43.57896423339844,26.769329071044922,0.0,0.0,0.998130738735199,0.07270529121160507,0.0031256501097232103,0.0,0.0,input,degraded_patchtst,False
st_sparse_station_bias_delta_forecast,2048,11,0.47408097982406616,28.284164144999522,0.06218838199856691,test,31093,31090,False,1.0,0.32035908102989197,0.5660027217513109,0.3518769145011902,42.07133865356445,26.155235290527344,40.44529342651367,42.28020095825195,26.387771606445312,41.845096588134766,26.05204963684082,41.99070358276367,26.058250427246094,41.93156814575195,26.018413543701172,0.1057446077466011,0.08045246161942571,0.5437846779823303,0.325825572013855,0.07445845007896423,0.0,0.945885419845581,forecast,st_sparse_station_bias_delta_forecast,False
degraded_patchtst,2049,14,0.4717574119567871,32.68020859399985,0.061019298000246636,test,31092,31089,False,1.0,0.32250291109085083,0.5678933976468215,0.35262829065322876,42.211875915527344,26.21108627319336,40.36589050292969,42.211875915527344,26.21108627319336,42.211875915527344,26.21108627319336,42.211875915527344,26.21108627319336,42.211875915527344,26.21108627319336,0.0,0.0,0.9998525381088257,0.06086316704750061,0.0008099976112134755,0.0,0.0,input,degraded_patchtst,False
st_sparse_station_bias_delta_forecast,2049,19,0.47504091262817383,41.517231335999895,0.062361195999983465,test,31093,31090,False,1.0,0.3313271403312683,0.5756102329973541,0.35283029079437256,42.78547668457031,26.226099014282227,40.08924865722656,42.73674392700195,26.366718292236328,42.677154541015625,26.379108428955078,42.89675521850586,26.40230941772461,42.53956985473633,26.002073287963867,0.10811056196689606,0.08354311941643652,0.4669172465801239,0.40652111172676086,0.08206821233034134,0.0,1.0828635692596436,forecast,st_sparse_station_bias_delta_forecast,False
degraded_patchtst,2050,27,0.472111314535141,49.24025443499886,0.06094960600057675,test,31092,31089,False,1.0,0.32695743441581726,0.5718019188633572,0.3525690734386444,42.50239944458008,26.206684112548828,39.98750305175781,42.50239944458008,26.206684112548828,42.50239944458008,26.206684112548828,42.50239944458008,26.206684112548828,42.50239944458008,26.206684112548828,0.0,0.0,0.9993069171905518,0.06892305612564087,0.0013786156196147203,0.0,0.0,input,degraded_patchtst,False
st_sparse_station_bias_delta_forecast,2050,29,0.4703410863876343,49.62195531699945,0.062287193000884145,test,31093,31090,False,1.0,0.32655394077301025,0.5714489835260976,0.34856104850769043,42.476165771484375,25.908763885498047,39.23517608642578,42.540504455566406,26.171663284301758,42.575164794921875,26.264848709106445,42.78578567504883,26.443256378173828,42.3109245300293,25.72956657409668,0.10948292165994644,0.06741200672127134,0.46028363704681396,0.37948575615882874,0.08984295278787613,0.0,1.3954153060913086,forecast,st_sparse_station_bias_delta_forecast,False
degraded_patchtst,2051,26,0.4625703692436218,49.196500789999845,0.060815363000074285,test,31092,31089,False,1.0,0.31873074173927307,0.5645624338718199,0.34763243794441223,41.96428680419922,25.839738845825195,39.59652328491211,41.96428680419922,25.839738845825195,41.96428680419922,25.839738845825195,41.96428680419922,25.839738845825195,41.96428680419922,25.839738845825195,0.0,0.0,0.9984294176101685,0.07330822199583054,0.0025711976923048496,0.0,0.0,input,degraded_patchtst,False
st_sparse_station_bias_delta_forecast,2051,28,0.4612468183040619,49.81857505500011,0.06215650900048786,test,31093,31090,False,1.0,0.3168833553791046,0.5629239339192327,0.34970876574516296,41.84249496459961,25.994075775146484,39.548954010009766,42.19058609008789,26.32537841796875,42.32094955444336,26.72982406616211,42.29721450805664,26.601346969604492,42.0034294128418,25.944896697998047,0.11076322942972183,0.06370064648393087,0.4721301794052124,0.4075499176979065,0.0801984891295433,0.0,1.2210204601287842,forecast,st_sparse_station_bias_delta_forecast,False
