seed,dgp,horizon,setting,n_train,n_test,params_uncon,params_wcs,rmse_uncon,rmse_wcs_neg,rmse_wcs_pos,delta_neg_vs_uncon,delta_pos_vs_uncon
0,A,1,S-iid,13983,5993,14786,14723,0.551161,0.649417,0.553824,-17.827079,-0.483146
0,A,1,S-shift,5286,2317,14786,14723,0.786379,1.488329,0.832873,-89.263577,-5.912358
0,A,1,S-small,3495,5993,14786,14723,0.562196,0.665513,0.563742,-18.377440,-0.274951
0,A,6,S-iid,13983,5993,15436,15373,0.534254,0.596518,0.532714,-11.654538,0.288195
0,A,6,S-shift,5286,2317,15436,15373,0.794421,1.122711,0.710511,-41.324487,10.562385
0,A,6,S-small,3495,5993,15436,15373,0.546695,0.606210,0.539832,-10.886239,1.255443
0,M,1,S-iid,13983,5993,14786,14723,0.518716,0.525857,0.626200,-1.376702,-20.721319
0,M,1,S-shift,5286,2317,14786,14723,0.758192,0.925333,1.355359,-22.044756,-78.762011
0,M,1,S-small,3495,5993,14786,14723,0.528661,0.542577,0.636398,-2.632212,-20.379278
0,M,6,S-iid,13983,5993,15436,15373,0.512369,0.517415,0.577443,-0.984799,-12.700570
0,M,6,S-shift,5286,2317,15436,15373,0.719783,0.834690,1.142464,-15.964092,-58.723480
0,M,6,S-small,3495,5993,15436,15373,0.518349,0.533912,0.589132,-3.002312,-13.655488
1,A,1,S-iid,13983,5993,14786,14723,0.556958,0.664058,0.556478,-19.229566,0.086181
1,A,1,S-shift,5526,2157,14786,14723,0.739879,1.447883,0.777852,-95.692024,-5.132341
1,A,1,S-small,3495,5993,14786,14723,0.563607,0.679394,0.565067,-20.543807,-0.258982
1,A,6,S-iid,13983,5993,15436,15373,0.535010,0.608284,0.535621,-13.695842,-0.114247
1,A,6,S-shift,5526,2157,15436,15373,0.676446,1.184608,0.666313,-75.122253,1.498117
1,A,6,S-small,3495,5993,15436,15373,0.541491,0.620295,0.539564,-14.553159,0.355807
1,M,1,S-iid,13983,5993,14786,14723,0.522969,0.530370,0.615177,-1.415204,-17.631752
1,M,1,S-shift,5526,2157,14786,14723,0.746870,0.977082,1.317553,-30.823531,-76.409859
1,M,1,S-small,3495,5993,14786,14723,0.530389,0.544058,0.621583,-2.577320,-17.193952
1,M,6,S-iid,13983,5993,15436,15373,0.516903,0.520322,0.573090,-0.661568,-10.869922
1,M,6,S-shift,5526,2157,15436,15373,0.662067,0.824891,1.092375,-24.593167,-64.994472
1,M,6,S-small,3495,5993,15436,15373,0.520690,0.529973,0.578788,-1.782788,-11.157755
2,A,1,S-iid,13983,5993,14786,14723,0.561560,0.664883,0.562110,-18.399381,-0.097972
2,A,1,S-shift,5234,2288,14786,14723,0.811703,1.417711,0.851654,-74.658871,-4.921884
2,A,1,S-small,3495,5993,14786,14723,0.565952,0.675348,0.565876,-19.329731,0.013351
2,A,6,S-iid,13983,5993,15436,15373,0.537359,0.601910,0.535980,-12.012751,0.256594
2,A,6,S-shift,5234,2288,15436,15373,0.769480,1.179061,0.729171,-53.228328,5.238421
2,A,6,S-small,3495,5993,15436,15373,0.546891,0.609033,0.547347,-11.362755,-0.083391
2,M,1,S-iid,13983,5993,14786,14723,0.521388,0.529532,0.624180,-1.562022,-19.715246
2,M,1,S-shift,5234,2288,14786,14723,0.651023,0.913980,1.387565,-40.391314,-113.135975
2,M,1,S-small,3495,5993,14786,14723,0.529096,0.556121,0.638275,-5.107917,-20.635186
2,M,6,S-iid,13983,5993,15436,15373,0.515456,0.518824,0.576823,-0.653473,-11.905461
2,M,6,S-shift,5234,2288,15436,15373,0.654719,0.930409,1.107259,-42.108134,-69.119782
2,M,6,S-small,3495,5993,15436,15373,0.524378,0.528986,0.590174,-0.878835,-12.547493
3,A,1,S-iid,13983,5993,14786,14723,0.549840,0.651904,0.550128,-18.562443,-0.052339
3,A,1,S-shift,5307,2251,14786,14723,0.856172,1.414121,0.796004,-65.167953,7.027473
3,A,1,S-small,3495,5993,14786,14723,0.557651,0.668358,0.556581,-19.852418,0.191865
3,A,6,S-iid,13983,5993,15436,15373,0.530864,0.593296,0.529646,-11.760408,0.229534
3,A,6,S-shift,5307,2251,15436,15373,0.849458,1.195095,0.759255,-40.689022,10.618896
3,A,6,S-small,3495,5993,15436,15373,0.539415,0.604373,0.539617,-12.042339,-0.037540
3,M,1,S-iid,13983,5993,14786,14723,0.517800,0.523295,0.622648,-1.061192,-20.248769
3,M,1,S-shift,5307,2251,14786,14723,0.694562,0.888565,1.301710,-27.931770,-87.414550
3,M,1,S-small,3495,5993,14786,14723,0.530177,0.545228,0.632404,-2.838771,-19.281642
3,M,6,S-iid,13983,5993,15436,15373,0.509916,0.513661,0.575077,-0.734549,-12.778875
3,M,6,S-shift,5307,2251,15436,15373,0.616597,0.801438,1.067473,-29.977529,-73.123272
3,M,6,S-small,3495,5993,15436,15373,0.516815,0.523710,0.582770,-1.334163,-12.761766
4,A,1,S-iid,13983,5993,14786,14723,0.557535,0.663283,0.560083,-18.966988,-0.456940
4,A,1,S-shift,5098,2297,14786,14723,0.935842,1.568016,0.951177,-67.551236,-1.638557
4,A,1,S-small,3495,5993,14786,14723,0.567401,0.672522,0.568128,-18.526851,-0.128095
4,A,6,S-iid,13983,5993,15436,15373,0.541523,0.607624,0.537975,-12.206509,0.655170
4,A,6,S-shift,5098,2297,15436,15373,0.810245,1.267508,0.780253,-56.435135,3.701599
4,A,6,S-small,3495,5993,15436,15373,0.544842,0.616095,0.545406,-13.077777,-0.103457
4,M,1,S-iid,13983,5993,14786,14723,0.524400,0.534757,0.625499,-1.975072,-19.279122
4,M,1,S-shift,5098,2297,14786,14723,0.929687,1.177614,1.431270,-26.667784,-53.951799
4,M,1,S-small,3495,5993,14786,14723,0.529907,0.550716,0.639679,-3.927004,-20.715412
4,M,6,S-iid,13983,5993,15436,15373,0.518717,0.524452,0.582102,-1.105581,-12.219588
4,M,6,S-shift,5098,2297,15436,15373,0.734848,1.099539,1.166351,-49.628178,-58.720073
4,M,6,S-small,3495,5993,15436,15373,0.524946,0.538818,0.587173,-2.642472,-11.854012
5,A,1,S-iid,13983,5993,14786,14723,0.562186,0.669156,0.568486,-19.027411,-1.120616
5,A,1,S-shift,5070,2333,14786,14723,0.894186,1.419702,0.889351,-58.770407,0.540622
5,A,1,S-small,3495,5993,14786,14723,0.571745,0.682957,0.575797,-19.451320,-0.708684
5,A,6,S-iid,13983,5993,15436,15373,0.540149,0.610202,0.541941,-12.969178,-0.331705
5,A,6,S-shift,5070,2333,15436,15373,0.786198,1.172410,0.756179,-49.124021,3.818308
5,A,6,S-small,3495,5993,15436,15373,0.546125,0.618767,0.553982,-13.301261,-1.438571
5,M,1,S-iid,13983,5993,14786,14723,0.523208,0.531007,0.624522,-1.490457,-19.363892
5,M,1,S-shift,5070,2333,14786,14723,0.643894,0.900590,1.258725,-39.866164,-95.486265
5,M,1,S-small,3495,5993,14786,14723,0.532681,0.552027,0.636206,-3.631643,-19.434574
5,M,6,S-iid,13983,5993,15436,15373,0.514888,0.519238,0.578005,-0.844864,-12.258370
5,M,6,S-shift,5070,2333,15436,15373,0.688016,0.784051,1.144312,-13.958251,-66.320483
5,M,6,S-small,3495,5993,15436,15373,0.521961,0.534845,0.587906,-2.468355,-12.634029
6,A,1,S-iid,13983,5993,14786,14723,0.550473,0.651966,0.550288,-18.437363,0.033679
6,A,1,S-shift,5398,2252,14786,14723,0.820704,1.350178,0.805641,-64.514675,1.835381
6,A,1,S-small,3495,5993,14786,14723,0.556730,0.667697,0.558779,-19.931964,-0.368066
6,A,6,S-iid,13983,5993,15436,15373,0.529699,0.596470,0.530423,-12.605528,-0.136669
6,A,6,S-shift,5398,2252,15436,15373,0.784134,1.118954,0.726599,-42.699449,7.337345
6,A,6,S-small,3495,5993,15436,15373,0.537868,0.600626,0.536993,-11.667755,0.162667
6,M,1,S-iid,13983,5993,14786,14723,0.513048,0.518829,0.621930,-1.126801,-21.222698
6,M,1,S-shift,5398,2252,14786,14723,0.631649,1.022712,1.408240,-61.911375,-122.946584
6,M,1,S-small,3495,5993,14786,14723,0.522949,0.533808,0.629778,-2.076394,-20.428066
6,M,6,S-iid,13983,5993,15436,15373,0.504935,0.507327,0.570520,-0.473818,-12.988905
6,M,6,S-shift,5398,2252,15436,15373,0.594384,0.875748,1.083368,-47.336964,-82.267213
6,M,6,S-small,3495,5993,15436,15373,0.511901,0.521669,0.576162,-1.908234,-12.553487
7,A,1,S-iid,13983,5993,14786,14723,0.559224,0.660192,0.562700,-18.055000,-0.621488
7,A,1,S-shift,5480,2273,14786,14723,0.747041,1.319393,0.773647,-76.615840,-3.561498
7,A,1,S-small,3495,5993,14786,14723,0.567804,0.667074,0.571004,-17.483243,-0.563566
7,A,6,S-iid,13983,5993,15436,15373,0.542045,0.604765,0.541725,-11.570899,0.059092
7,A,6,S-shift,5480,2273,15436,15373,0.707884,1.124440,0.655643,-58.845220,7.379888
7,A,6,S-small,3495,5993,15436,15373,0.550085,0.609771,0.548917,-10.850488,0.212294
7,M,1,S-iid,13983,5993,14786,14723,0.524266,0.532180,0.623437,-1.509465,-18.916272
7,M,1,S-shift,5480,2273,14786,14723,0.758421,0.934292,1.342343,-23.189039,-76.991805
7,M,1,S-small,3495,5993,14786,14723,0.531896,0.550771,0.632453,-3.548688,-18.905487
7,M,6,S-iid,13983,5993,15436,15373,0.518942,0.522839,0.578939,-0.750944,-11.561279
7,M,6,S-shift,5480,2273,15436,15373,0.668767,0.931646,1.107981,-39.307910,-65.675173
7,M,6,S-small,3495,5993,15436,15373,0.525252,0.533867,0.588094,-1.640254,-11.964141
8,A,1,S-iid,13983,5993,14786,14723,0.543911,0.643146,0.544424,-18.244632,-0.094313
8,A,1,S-shift,5336,2288,14786,14723,0.799672,1.382302,0.795658,-72.858666,0.501869
8,A,1,S-small,3495,5993,14786,14723,0.548257,0.655711,0.555775,-19.599194,-1.371129
8,A,6,S-iid,13983,5993,15436,15373,0.523104,0.588484,0.526092,-12.498626,-0.571358
8,A,6,S-shift,5336,2288,15436,15373,0.717979,1.110444,0.702136,-54.662525,2.206656
8,A,6,S-small,3495,5993,15436,15373,0.528901,0.599339,0.532985,-13.317825,-0.772042
8,M,1,S-iid,13983,5993,14786,14723,0.514829,0.519529,0.620514,-0.912888,-20.528130
8,M,1,S-shift,5336,2288,14786,14723,0.741513,1.055547,1.364428,-42.350411,-84.005823
8,M,1,S-small,3495,5993,14786,14723,0.522735,0.535389,0.631000,-2.420914,-20.711380
8,M,6,S-iid,13983,5993,15436,15373,0.509447,0.511315,0.573502,-0.366668,-12.573283
8,M,6,S-shift,5336,2288,15436,15373,0.639707,0.806361,1.157104,-26.051569,-80.880165
8,M,6,S-small,3495,5993,15436,15373,0.516798,0.522285,0.579621,-1.061718,-12.156100
9,A,1,S-iid,13983,5993,14786,14723,0.552139,0.651355,0.552408,-17.969430,-0.048700
9,A,1,S-shift,5294,2253,14786,14723,0.809970,1.388427,0.902606,-71.417113,-11.437023
9,A,1,S-small,3495,5993,14786,14723,0.556280,0.661779,0.563584,-18.965085,-1.312945
9,A,6,S-iid,13983,5993,15436,15373,0.532747,0.596590,0.533725,-11.983828,-0.183618
9,A,6,S-shift,5294,2253,15436,15373,0.832549,1.184789,0.782791,-42.308624,5.976609
9,A,6,S-small,3495,5993,15436,15373,0.539941,0.604334,0.541222,-11.925935,-0.237165
9,M,1,S-iid,13983,5993,14786,14723,0.521657,0.528858,0.626817,-1.380408,-20.158884
9,M,1,S-shift,5294,2253,14786,14723,0.776734,0.944797,1.374018,-21.637125,-76.896768
9,M,1,S-small,3495,5993,14786,14723,0.529283,0.541024,0.635722,-2.218311,-20.110105
9,M,6,S-iid,13983,5993,15436,15373,0.516698,0.521209,0.580480,-0.873159,-12.344211
9,M,6,S-shift,5294,2253,15436,15373,0.677385,0.849807,1.044756,-25.454071,-54.233710
9,M,6,S-small,3495,5993,15436,15373,0.521074,0.535924,0.587862,-2.849924,-12.817455
10,A,1,S-iid,13983,5993,14786,14723,0.555610,0.658695,0.554848,-18.553477,0.137153
10,A,1,S-shift,5534,2313,14786,14723,0.769614,1.417477,0.799470,-84.180167,-3.879312
10,A,1,S-small,3495,5993,14786,14723,0.565727,0.672125,0.569740,-18.807381,-0.709348
10,A,6,S-iid,13983,5993,15436,15373,0.537611,0.602853,0.537074,-12.135594,0.099773
