condition,pollutant,mse_mean,mse_std,improvement_vs_alpha_zero_percent
alpha_zero,PM2.5,1.226549811228155,0.016146033734809807,0.0
alpha_zero,PM10,0.027586643280015307,0.0004417201339883109,0.0
alpha_zero,NO2,0.8372047279648883,0.004078785686660366,0.0
alpha_zero,CO,1.38105067419584,0.012507108565068552,0.0
alpha_zero,O3,0.12101553020302941,0.0016002415185870553,0.0
alpha_zero,SO2,1.354407852909266,0.01674313574042497,0.0
uniform_alpha,PM2.5,1.1756511405469598,0.012675155797236343,4.149743468651294
uniform_alpha,PM10,0.027136417426931195,0.000173436412753983,1.6320429003055659
uniform_alpha,NO2,0.8025741439362851,0.005793465124796783,4.136453470919191
uniform_alpha,CO,1.3488454096514964,0.00989488207497824,2.3319393810872366
uniform_alpha,O3,0.12183687779651849,0.0007756056018859086,-0.6787125521088833
uniform_alpha,SO2,1.3061087364130308,0.01219770065095637,3.5660688464326875
per_pollutant_alpha,PM2.5,1.169712084938302,0.01271251486101625,4.63395173759318
per_pollutant_alpha,PM10,0.0268383551153434,0.00011559120359876424,2.7125016881412063
per_pollutant_alpha,NO2,0.8031957815366072,0.006326943117342086,4.062201907405786
per_pollutant_alpha,CO,1.3513563920199403,0.008603275281014061,2.1501225647053155
per_pollutant_alpha,O3,0.12100342410755179,0.0015477432935191492,0.010003753615187311
per_pollutant_alpha,SO2,1.303181802570582,0.015764028351203364,3.782173163619114
learnable_alpha,PM2.5,1.1687555400536587,0.015971386977384493,4.711938369353822
learnable_alpha,PM10,0.027904587748424445,0.0002661228581743798,-1.1525304662182951
learnable_alpha,NO2,0.8132454251406921,0.010214594140495522,2.8618212515877075
learnable_alpha,CO,1.3597410585534042,0.010216910550445699,1.5430002707789061
learnable_alpha,O3,0.12324081376936595,0.0004889713472461368,-1.838841314501662
learnable_alpha,SO2,1.3073470964984848,0.013253164627109583,3.4746370016752923
