condition,pollutant,strict_mse_mean,method_mse_mean,improvement_percent
uniform_alpha,PM2.5,1.224693325636695,1.1756511405469598,4.0044461795559325
uniform_alpha,PM10,0.027599220258236967,0.027136417426931195,1.67686922665016
uniform_alpha,NO2,0.8348258630094921,0.8025741439362851,3.8632870041833263
uniform_alpha,CO,1.3872278737119448,1.3488454096514964,2.766846369496932
uniform_alpha,O3,0.12073485742081647,0.12183687779651849,-0.9127607380700113
uniform_alpha,SO2,1.354092688155627,1.3061087364130308,3.543623871712491
per_pollutant_alpha,PM2.5,1.224693325636695,1.169712084938302,4.489388449129437
per_pollutant_alpha,PM10,0.027599220258236967,0.0268383551153434,2.7568356488857266
per_pollutant_alpha,NO2,0.8348258630094921,0.8031957815366072,3.788823858290707
per_pollutant_alpha,CO,1.3872278737119448,1.3513563920199403,2.58583916685725
per_pollutant_alpha,O3,0.12073485742081647,0.12100342410755179,-0.22244337093076685
per_pollutant_alpha,SO2,1.354092688155627,1.303181802570582,3.7597784871277478
learnable_alpha,PM2.5,1.224693325636695,1.1687555400536587,4.567493299104517
learnable_alpha,PM10,0.027599220258236967,0.027904587748424445,-1.1064352084234754
learnable_alpha,NO2,0.8348258630094921,0.8132454251406921,2.585022676585987
learnable_alpha,CO,1.3872278737119448,1.3597410585534042,1.9814203332716591
learnable_alpha,O3,0.12073485742081647,0.12324081376936595,-2.0755864562088107
learnable_alpha,SO2,1.354092688155627,1.3073470964984848,3.452170746214804
