condition,seed,epochs_requested,epochs_completed,batch_size,learning_rate,input_shape,valid_mse,valid_rmse,valid_mae,pollutant_mse,elapsed_seconds,total_params,trainable_params,device,initial_alpha,learned_alpha,selection_raw_solution,selected_alpha,raw_valid_mse
strict_patchtst,20260809,30,30,16,0.0001,"[8569, 12, 168]",0.7143663608871217,0.8452019645546984,0.5549288135015737,"{""PM2.5"": 1.2146689372313049, ""PM10"": 0.027201570482048947, ""NO2"": 0.8387108953286289, ""CO"": 1.3902059847617048, ""O3"": 0.12140258687219602, ""SO2"": 1.3543964497960574}",382.71400106902,49907,49904,cuda:0,,,,,
strict_patchtst,20260810,30,30,16,0.0001,"[8569, 12, 168]",0.7169321119130279,0.8467184372109939,0.5541623433782867,"{""PM2.5"": 1.231901119382109, ""PM10"": 0.027691939208309934, ""NO2"": 0.8350687493627582, ""CO"": 1.3893847519569258, ""O3"": 0.12037557341647401, ""SO2"": 1.355053642190582}",383.819521130994,49907,49904,cuda:0,,,,,
strict_patchtst,20260811,30,30,16,0.0001,"[8569, 12, 168]",0.7150597817223406,0.845612075198989,0.5550932328749939,"{""PM2.5"": 1.2275099202966715, ""PM10"": 0.027904151084352017, ""NO2"": 0.8306979443370894, ""CO"": 1.3820928844172036, ""O3"": 0.12042641197377935, ""SO2"": 1.3528279724802408}",382.4099719010119,49907,49904,cuda:0,,,,,
alpha_zero,20260809,30,30,16,0.0001,,0.7099771400632864,0.8426014123316471,0.5528425322372853,"{""PM2.5"": 1.207920184149589, ""PM10"": 0.02710212479980881, ""NO2"": 0.8344555621920273, ""CO"": 1.3676698060835584, ""O3"": 0.12130662398424359, ""SO2"": 1.3388145612495947}",388.16261147899786,66211,66208,cuda:0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7099771400632864
alpha_zero,20260810,30,30,16,0.0001,,0.7200600364991149,0.8485635135327908,0.5545703445104737,"{""PM2.5"": 1.2364948243792957, ""PM10"": 0.02769088781610321, ""NO2"": 0.8418911167548558, ""CO"": 1.3924466412802046, ""O3"": 0.12245024317260786, ""SO2"": 1.3721024548834082}",389.7001232439943,66211,66208,cuda:0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7200600364991149
alpha_zero,20260811,30,30,16,0.0001,,0.7186194667938801,0.8477142601100208,0.5560901351140377,"{""PM2.5"": 1.2352344251555805, ""PM10"": 0.027966917224133896, ""NO2"": 0.8352675049477818, ""CO"": 1.383035575223757, ""O3"": 0.11928972345223678, ""SO2"": 1.352306542594795}",388.4121281009866,66211,66208,cuda:0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7186194667938801
uniform_alpha,20260809,30,30,16,0.0001,,0.6980639585133487,0.8355022193347835,0.5504555062227345,"{""PM2.5"": 1.1652376269576548, ""PM10"": 0.026989121761197287, ""NO2"": 0.8027471105612012, ""CO"": 1.3405047993351016, ""O3"": 0.12245323321472812, ""SO2"": 1.2975678193965328}",471.3726062570058,66211,66208,cuda:0,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02]","[0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164]",0.015382489936353553,"[0.015382489936353553, 0.015382489936353553, 0.015382489936353553, 0.015382489936353553, 0.015382489936353553, 0.015382489936353553]",0.6996068340179263
uniform_alpha,20260810,30,30,16,0.0001,,0.7067115347703677,0.8406613674782301,0.5518955588777532,"{""PM2.5"": 1.1897645592038497, ""PM10"": 0.027327573469770786, ""NO2"": 0.8082791889249094, ""CO"": 1.3597784328978786, ""O3"": 0.12209141097988824, ""SO2"": 1.3200783419744135}",471.9813797750103,66211,66208,cuda:0,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02]","[0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164]",0.01522862126455433,"[0.01522862126455433, 0.01522862126455433, 0.01522862126455433, 0.01522862126455433, 0.01522862126455433, 0.01522862126455433]",0.7086576840757556
uniform_alpha,20260811,30,30,16,0.0001,,0.7031850953488578,0.8385613247394956,0.5530001661709237,"{""PM2.5"": 1.171951235479375, ""PM10"": 0.027092557049825505, ""NO2"": 0.796696132322745, ""CO"": 1.3462529967215089, ""O3"": 0.1209659891949391, ""SO2"": 1.3006800478681462}",470.8286839530047,66211,66208,cuda:0,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02]","[0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164]",0.016315809370917644,"[0.016315809370917644, 0.016315809370917644, 0.016315809370917644, 0.016315809370917644, 0.016315809370917644, 0.016315809370917644]",0.7042209001986209
per_pollutant_alpha,20260809,30,30,16,0.0001,,0.6990232398391635,0.8360760969189129,0.5520860678123748,"{""PM2.5"": 1.1614492959040181, ""PM10"": 0.026793844192563025, ""NO2"": 0.8008322894849291, ""CO"": 1.3454715722574433, ""O3"": 0.12093245351386331, ""SO2"": 1.2918692621446106}",470.8544150039961,66211,66208,cuda:0,"[0.3124, 0.0139, 0.0357, 0.0054, 0.02, 0.049]","[0.3124000132083893, 0.013899999670684338, 0.0357000008225441, 0.005400000140070915, 0.019999999552965164, 0.04899999871850014]","[0.3059045428694418, 0.0060860948517879685, 0.02443164484412294, 0.003806153499136648, -0.008742569504631831, 0.04020047241707834]","[0.3059045428694418, 0.0060860948517879685, 0.02443164484412294, 0.003806153499136648, 0.0, 0.04020047241707834]",0.7009021067982055
