variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,learning_rate_retry,note,infeasible_reason,device_name,batch_size,history,horizon,result_dir,smoke,city,station_id,independent_recomputed
center_gru_default,center_gru,2047,completed,28,0.8054205179214478,20.61221244300009,0.0589436750001368,test,32112,32112,B,default,default,1,,predictions/center_gru_default_seed2047.npz,0.45858457684516907,0.6771887305952227,0.4347897469997406,50.34202194213867,32.32215118408203,44.7188606262207,[9],"{""hidden_size"": 100}",,,,,,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,True
center_gru_default,center_gru,2048,completed,30,0.9903948307037354,20.48209851599995,0.0587873590000072,test,32112,32112,B,default,default,1,,predictions/center_gru_default_seed2048.npz,0.5399404764175415,0.734806421050838,0.5129082798957825,54.62530517578125,38.129459381103516,52.66020202636719,[9],"{""hidden_size"": 100}",True,nonfinite loss at protocol lr; retried once with lr/10,,,,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,True
center_gru_default,center_gru,2049,nonfinite,0,,,,test,32112,32112,B,default,default,1,,,,,,,,,[9],"{""hidden_size"": 100}",,,non-finite training loss at protocol lr and at lr/10: center_gru_default seed=2049 has non-finite training loss,AMD Radeon RX 7600,512.0,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,False
center_lstm_default,center_lstm,2047,completed,8,2.1259093284606934,6.708758172999978,0.0483033959999374,test,42412,42412,B,default,default,1,,predictions/center_lstm_default_seed2047.npz,0.9969786405563354,0.9984881774744934,0.7574573159217834,74.22733306884766,56.30916976928711,71.50933074951172,[9],"{""hidden_size"": 100}",,,,,,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,True
center_lstm_default,center_lstm,2048,nonfinite,0,,,,test,42412,42412,B,default,default,1,,,,,,,,,[9],"{""hidden_size"": 100}",,,non-finite training loss at protocol lr and at lr/10: center_lstm_default seed=2048 has non-finite training loss,AMD Radeon RX 7600,512.0,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,False
center_lstm_default,center_lstm,2049,nonfinite,0,,,,test,42412,42412,B,default,default,1,,,,,,,,,[9],"{""hidden_size"": 100}",,,non-finite training loss at protocol lr and at lr/10: center_lstm_default seed=2049 has non-finite training loss,AMD Radeon RX 7600,512.0,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,False
center_tcn_default,center_tcn,2047,completed,20,1.1151814460754397,318.84048286300003,0.997250656999995,test,66962,66962,B,default,default,1,,predictions/center_tcn_default_seed2047.npz,0.8006572723388672,0.8947945419697569,0.6774799227714539,66.5187759399414,50.36367416381836,63.53181457519531,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",,,,,,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,True
center_tcn_default,center_tcn,2048,completed,29,1.0669572353363037,367.8674513390001,0.5698582199997873,test,66962,66962,B,default,default,1,,predictions/center_tcn_default_seed2048.npz,0.7604323625564575,0.8720277303827313,0.621212899684906,64.82630157470703,46.1807975769043,65.0748519897461,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",,,,,,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,True
center_tcn_default,center_tcn,2049,completed,26,1.05241060256958,377.8296725289997,0.5764009129998158,test,66962,66962,B,default,default,1,,predictions/center_tcn_default_seed2049.npz,0.7193355560302734,0.8481365196890612,0.6164950728416443,63.050228118896484,45.830074310302734,65.85237884521484,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",,,,,,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,True
plain_mix_patchtst_all_default,plain_mix_patchtst_all,2047,completed,3,0.8459345698356628,8.311286614999972,0.0502120360001754,test,34386,34383,C,default,default,18,,predictions/plain_mix_patchtst_all_default_seed2047.npz,0.5402378439903259,0.7350087373564521,0.5136335492134094,54.640342712402344,38.18337631225586,58.084632873535156,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,True
plain_mix_patchtst_all_default,plain_mix_patchtst_all,2048,completed,3,1.7303674221038818,8.192110715000126,0.0397811729999375,test,34386,34383,C,default,default,18,,predictions/plain_mix_patchtst_all_default_seed2048.npz,0.7861937284469604,0.8866756613593048,0.6584948897361755,65.91521453857422,48.952327728271484,65.7717056274414,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,True
plain_mix_patchtst_all_default,plain_mix_patchtst_all,2049,completed,13,0.8104544878005981,17.318326075000186,0.0386108010002317,test,34386,34383,C,default,default,18,,predictions/plain_mix_patchtst_all_default_seed2049.npz,0.5007408857345581,0.7076304725876057,0.4658771753311157,52.60505294799805,34.633182525634766,53.428733825683594,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,True
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2047,completed,6,1.7907326221466064,11.758255546000328,0.0479822190000049,test,34002,33999,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2047.npz,1.0814579725265503,1.0399317153191119,0.7641085386276245,77.30823516845703,56.803619384765625,71.23334503173828,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",True,nonfinite loss at protocol lr; retried once with lr/10,,,,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,True
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2048,completed,13,0.9694676995277404,17.502238330000182,0.0389209569998456,test,34002,33999,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2048.npz,0.6289806365966797,0.7930829947720981,0.5596280694007874,58.95757293701172,41.60260009765625,62.996726989746094,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,True
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2049,completed,4,1.5311132669448853,9.177613768000356,0.0390329739998378,test,34002,33999,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2049.npz,2.0070748329162598,1.4167126853798762,0.7212228775024414,105.31803131103516,53.61551284790039,71.7496337890625,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,True
patchtst_ci_top5_default,patchtst_ci_top5,2047,completed,14,0.7923688292503357,100.1535348399998,0.2442529719996855,test,33755,33752,C,default,default,6,,predictions/patchtst_ci_top5_default_seed2047.npz,0.5525313019752502,0.7433244930548504,0.49937015771865845,55.2585334777832,37.12303924560547,51.939945220947266,"[9, 14, 11, 16, 15, 4]","{""c_in"": 6, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""stride"": 2}",,,,,,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,True
patchtst_ci_top5_default,patchtst_ci_top5,2048,completed,30,0.8144494295120239,154.54186824,0.2418613599998025,test,33755,33752,C,default,default,6,,predictions/patchtst_ci_top5_default_seed2048.npz,0.5061177611351013,0.7114195394667631,0.47434356808662415,52.8867301940918,35.2625732421875,49.47676467895508,"[9, 14, 11, 16, 15, 4]","{""c_in"": 6, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""stride"": 2}",True,nonfinite loss at protocol lr; retried once with lr/10,,,,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,True
patchtst_ci_top5_default,patchtst_ci_top5,2049,completed,30,0.8186657428741455,153.1955451179997,0.2540886000001592,test,33755,33752,C,default,default,6,,predictions/patchtst_ci_top5_default_seed2049.npz,0.5395863056182861,0.7345653855296247,0.4942907691001892,54.607383728027344,36.745445251464844,51.12423324584961,"[9, 14, 11, 16, 15, 4]","{""c_in"": 6, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 12, ""seq_len"": 168, ""stride"": 2}",True,nonfinite loss at protocol lr; retried once with lr/10,,,,168,12,experiments/results/baselines/beijing/168h_12h,False,beijing,,True
