history,horizon,paired_seeds,e2e_st_rmse_ugm3,e2e_degraded_rmse_ugm3,e2e_st_vs_degraded_percent,multi_gru_rmse_ugm3,multi_gru_seeds,e2e_st_vs_multi_gru_percent
24,1,5,20.787416,21.504396,-3.334109,19.651992,5,5.777654
24,3,3,31.114167,31.575743,-1.461807,29.438311,3,5.692773
24,6,3,40.357897,41.423787,-2.573135,39.179899,3,3.006641
24,12,3,51.892986,53.418129,-2.855103,53.191242,3,-2.440732
24,24,3,66.102786,67.862612,-2.593220,66.354556,3,-0.379431
48,1,3,21.242021,21.475182,-1.085721,19.989205,3,6.267462
48,3,3,31.739012,32.227150,-1.514678,29.158254,3,8.850867
48,6,3,41.596382,42.909559,-3.060336,38.987895,3,6.690506
48,12,3,54.110695,56.590065,-4.381282,51.918429,3,4.222520
48,24,3,69.126755,70.296700,-1.664295,66.614878,3,3.770744
72,1,3,21.522640,29.986132,-28.224689,19.887283,3,8.223129
72,3,3,32.420832,32.701745,-0.859015,29.194021,3,11.052988
72,6,3,41.163939,41.870707,-1.687977,39.192560,3,5.029984
72,12,3,53.488762,58.025889,-7.819143,51.430056,3,4.002923
72,24,3,65.479233,68.346364,-4.195002,63.846198,3,2.557764
168,1,3,25.981004,27.023820,-3.858875,19.938643,3,30.304775
168,3,3,32.535238,32.718723,-0.560797,41.078741,2,-20.797871
168,6,4,42.293869,42.564382,-0.635537,39.232293,4,7.803714
168,12,3,62.631095,56.006930,11.827402,50.887287,1,23.078077
168,24,3,68.408831,70.026367,-2.309896,61.288498,1,11.617732
