history,horizon,reduction_mean_new,improved_seeds,reduction_mean_old
24,1,2.907208,5,3.118755
24,3,3.340399,5,2.862793
24,6,3.560860,5,2.921318
24,12,3.423712,5,3.587720
24,24,4.285290,5,3.846907
48,1,2.934406,5,3.360574
48,3,3.383818,5,3.009078
48,6,2.656801,5,2.593782
48,12,2.528310,5,1.727551
48,24,2.172048,5,2.408070
72,1,1.587035,5,2.008807
72,3,2.041184,5,1.973451
72,6,1.507947,5,1.414224
72,12,0.768465,5,0.893627
72,24,0.558686,3,-0.193060
168,1,0.859160,5,0.986223
168,3,1.035694,5,1.367541
168,6,0.606984,5,0.821987
168,12,0.274743,2,-0.088376
168,24,-0.176414,1,-0.240576
