history,horizon,rfft_reduction_vs_st_new,rfft_improved_seeds,rfft_reduction_vs_patchtst,frequency_minus_control,rfft_reduction_vs_st_old,diff_vs_old
24,1,0.053923,5,2.959579,0.087780,0.141231,-0.087308
24,3,0.174396,5,3.509010,-0.170630,0.232182,-0.057786
24,6,0.600823,5,4.140588,0.003835,0.670502,-0.069679
24,12,0.791366,5,4.188097,-0.026915,0.811603,-0.020237
24,24,1.840368,5,6.046862,0.006276,1.764093,0.076275
48,1,0.267557,5,3.194162,0.056684,0.385546,-0.117989
48,3,0.325373,5,3.697618,-0.082056,0.593195,-0.267822
48,6,0.739061,5,3.376095,-0.119744,0.836779,-0.097718
48,12,1.054750,5,3.555824,-0.089070,1.378285,-0.323535
48,24,1.524325,5,3.664109,-0.081612,1.305925,0.218400
72,1,0.272848,5,1.856110,-0.060546,0.357426,-0.084578
72,3,0.287689,5,2.322817,-0.053467,0.437374,-0.149685
72,6,0.615935,5,2.115412,0.090026,0.529151,0.086784
72,12,0.720785,5,1.483654,0.011651,0.685700,0.035085
72,24,0.774812,5,1.330548,0.070540,0.963339,-0.188527
168,1,1.304488,5,2.151976,-0.129066,1.047768,0.256720
168,3,0.397249,5,1.429328,-0.228759,0.462626,-0.065377
168,6,0.407150,5,1.011491,-0.054419,0.370992,0.036158
168,12,0.268695,4,0.541736,0.036050,0.186633,0.082062
168,24,0.276211,4,0.099600,0.001098,0.466401,-0.190190
