history,horizon,seeds,base_rmse,spatial_rmse,reduction_mean,reduction_std,improved_seeds,alpha_mean,residual_ratio_mean,source
24,1,5,21.504396,20.879179,2.907208,0.203343,5,0.127944,0.056097,horizon_coverage
24,3,5,31.652389,30.594855,3.340399,0.453334,5,0.148048,0.082859,horizon_coverage
24,6,5,41.346684,39.874100,3.560860,0.322109,5,0.166037,0.109072,horizon_coverage
24,12,5,53.384511,51.556897,3.423712,0.242183,5,0.190105,0.153984,horizon_coverage
24,24,5,67.890862,64.981989,4.285290,0.279923,5,0.200665,0.205484,horizon_coverage
48,1,5,21.514957,20.883883,2.934406,0.277592,5,0.128536,0.055140,horizon_coverage
48,3,5,32.361665,31.266758,3.383818,0.643417,5,0.149784,0.077305,horizon_coverage
48,6,5,43.037617,41.894620,2.656801,0.553051,5,0.146919,0.090003,horizon_coverage
48,12,5,56.141084,54.727071,2.528310,0.617086,5,0.174856,0.120792,horizon_coverage
48,24,5,71.789938,70.232396,2.172048,0.626911,5,0.166088,0.136351,horizon_coverage
72,1,5,21.546407,21.204475,1.587035,0.626764,5,0.114967,0.040852,horizon_coverage
72,3,5,32.111351,31.455507,2.041184,0.240812,5,0.126695,0.065908,horizon_coverage
72,6,5,41.834559,41.202841,1.507947,0.564737,5,0.125815,0.075241,horizon_coverage
72,12,5,54.926517,54.504286,0.768465,0.331790,5,0.108866,0.066673,horizon_coverage
72,24,5,67.049643,66.678886,0.558686,0.760816,3,0.112827,0.087439,horizon_coverage
168,1,5,22.217812,22.026657,0.859160,0.388305,5,0.109954,0.040431,horizon_coverage
168,3,5,32.270242,31.935965,1.035694,0.382467,5,0.109276,0.041760,horizon_coverage
168,6,5,42.357881,42.100684,0.606984,0.167572,5,0.109586,0.048939,horizon_coverage
168,12,5,56.070383,55.912211,0.274743,0.823746,2,0.107043,0.031768,horizon_coverage
168,24,5,68.220798,68.346083,-0.176414,0.362248,1,0.100682,0.023524,horizon_coverage
