history,horizon,st_rfft_rmse,st_time_rmse,rfft_reduction_vs_st,rfft_improved_seeds,time_reduction_vs_st,rfft_reduction_vs_patchtst,frequency_minus_control
24,1,20.867889,20.886245,0.053923,5,-0.033857,2.959579,0.087780
24,3,30.541479,30.489284,0.174396,5,0.345026,3.509010,-0.170630
24,6,39.634320,39.636009,0.600823,5,0.596988,4.140588,0.003835
24,12,51.148794,51.134972,0.791366,5,0.818280,4.188097,-0.026915
24,24,63.786114,63.790229,1.840368,5,1.834092,6.046862,0.006276
48,1,20.827933,20.839824,0.267557,5,0.210873,3.194162,0.056684
48,3,31.165193,31.139265,0.325373,5,0.407429,3.697618,-0.082056
48,6,41.585562,41.534869,0.739061,5,0.858805,3.376095,-0.119744
48,12,54.149580,54.100219,1.054750,5,1.143821,3.555824,-0.089070
48,24,69.162448,69.106688,1.524325,5,1.605936,3.664109,-0.081612
72,1,21.146577,21.133723,0.272848,5,0.333394,1.856110,-0.060546
72,3,31.364787,31.347978,0.287689,5,0.341156,2.322817,-0.053467
72,6,40.948778,40.985935,0.615935,5,0.525909,2.115412,0.090026
72,12,54.110709,54.117516,0.720785,5,0.709134,1.483654,0.011651
72,24,66.159918,66.207567,0.774812,5,0.704272,1.330548,0.070540
168,1,21.737277,21.708896,1.304488,5,1.433554,2.151976,-0.129066
168,3,31.808943,31.735889,0.397249,5,0.626008,1.429328,-0.228759
168,6,41.929550,41.906989,0.407150,5,0.461569,1.011491,-0.054419
168,12,55.764260,55.783439,0.268695,4,0.232645,0.541736,0.036050
168,24,68.159245,68.161630,0.276211,4,0.275113,0.099600,0.001098
