task,seed,degraded_rmse,locked_st_rmse,st_plus_rfft_rmse,rmse_reduction_percent,locked_st_mae,st_plus_rfft_mae,mae_reduction_percent
24$\rightarrow$1,2047,21.565008,20.944187,20.926210,0.085832,10.007443,10.049192,-0.417179
24$\rightarrow$1,2048,21.343779,20.693115,20.683578,0.046087,10.041711,10.011907,0.296804
24$\rightarrow$1,2049,21.159788,20.474903,20.407764,0.327907,9.980981,9.959765,0.212559
24$\rightarrow$1,2050,21.258343,20.519243,20.503525,0.076604,10.040754,10.021875,0.188023
24$\rightarrow$1,2051,21.117016,20.493437,20.458654,0.169725,9.837465,9.837307,0.001609
168$\rightarrow$6,2047,42.285580,42.035534,41.757420,0.661617,25.922821,25.242439,2.624644
168$\rightarrow$6,2048,42.150658,41.764603,41.713863,0.121489,25.974413,25.873320,0.389203
168$\rightarrow$6,2049,42.441029,42.039757,41.784626,0.606880,25.893797,25.464378,1.658384
168$\rightarrow$6,2050,42.411041,42.145111,41.955147,0.450739,25.984055,25.631479,1.356891
168$\rightarrow$6,2051,42.045628,41.612473,41.606548,0.014237,25.562784,25.392250,0.667119
