task,seed,degraded_rmse,locked_st_rmse,st_plus_rfft_rmse,st_reduction_vs_degraded_percent,st_plus_rfft_reduction_vs_degraded_percent,extra_from_frequency_percent
24$\rightarrow$1,2047,21.565008,20.944187,20.926210,2.878835,2.962196,0.083361
24$\rightarrow$1,2048,21.343779,20.693115,20.683578,3.048492,3.093174,0.044682
24$\rightarrow$1,2049,21.159788,20.474903,20.407764,3.236729,3.554023,0.317294
24$\rightarrow$1,2050,21.258343,20.519243,20.503525,3.476750,3.550691,0.073940
24$\rightarrow$1,2051,21.117016,20.493437,20.458654,2.952969,3.117682,0.164713
168$\rightarrow$6,2047,42.285580,42.035534,41.757420,0.591326,1.249031,0.657705
168$\rightarrow$6,2048,42.150658,41.764603,41.713863,0.915893,1.036269,0.120376
168$\rightarrow$6,2049,42.441029,42.039757,41.784626,0.945481,1.546623,0.601142
168$\rightarrow$6,2050,42.411041,42.145111,41.955147,0.627031,1.074943,0.447912
168$\rightarrow$6,2051,42.045628,41.612473,41.606548,1.030202,1.044292,0.014090
