history,horizon,stations,pairs,skipped_stations,complete,pool_effect,pool_std,improved_pairs,improved_stations
24,1,8,40,,True,2.207230,2.072699,40,8
24,3,8,40,,True,3.063302,2.638334,40,8
24,6,8,40,,True,3.010632,2.114591,40,8
24,12,8,40,,True,2.788348,1.234714,40,8
24,24,8,40,,True,2.654032,1.101362,40,8
48,1,8,40,,True,1.947581,2.119543,39,8
48,3,8,40,,True,2.904849,2.870200,40,8
48,6,8,40,,True,2.932799,2.016568,40,8
48,12,8,40,,True,2.368129,1.131109,40,8
48,24,8,40,,True,2.505527,1.112516,39,8
72,1,8,40,,True,1.773458,1.656409,38,8
72,3,8,40,,True,2.357575,2.275447,40,8
72,6,8,40,,True,2.353819,1.805217,40,8
72,12,8,40,,True,2.219174,1.072000,40,8
72,24,8,40,,True,2.096803,0.643218,40,8
168,1,8,40,,True,1.646604,1.861618,35,8
168,3,8,40,,True,1.970221,2.292388,37,8
168,6,8,40,,True,1.822416,1.716925,37,8
168,12,8,40,,True,1.830941,1.170148,40,8
168,24,8,40,,True,1.397597,0.881081,39,8
