history,horizon,pairs,rfft_vs_st,rfft_vs_patchtst,time_vs_st,frequency_minus_control,improved_pairs
24,1,40,0.796334,2.994533,0.853692,-0.057357,30
24,3,40,0.501599,3.555293,0.668176,-0.166577,35
24,6,40,0.458522,3.458653,0.718278,-0.259756,38
24,12,40,0.764723,3.533324,0.945839,-0.181117,40
24,24,40,1.173346,3.798234,1.415149,-0.241803,40
48,1,40,1.281470,3.215437,1.116155,0.165315,34
48,3,40,0.698617,3.588485,0.730455,-0.031838,35
48,6,40,0.342135,3.265999,0.788741,-0.446606,34
48,12,40,0.544809,2.900239,1.041396,-0.496587,38
48,24,40,0.950216,3.432339,1.370229,-0.420012,40
72,1,40,1.286748,3.041420,1.364876,-0.078128,35
72,3,40,0.640114,2.981940,0.943881,-0.303767,35
72,6,40,0.434481,2.777005,0.864618,-0.430137,35
72,12,40,0.748061,2.949929,0.979025,-0.230964,40
72,24,40,1.016015,3.091545,1.327974,-0.311959,40
168,1,40,1.365541,2.995538,1.493504,-0.127963,34
168,3,40,0.702364,2.661179,0.780921,-0.078557,35
168,6,40,0.633809,2.443776,0.845436,-0.211626,37
168,12,40,0.491939,2.309692,0.669361,-0.177422,38
168,24,40,0.482768,1.873424,0.598460,-0.115692,40
