history,horizon,seeds,base_rmse,spatial_rmse,reduction_mean,reduction_std,improved_seeds,alpha_mean,residual_ratio_mean,source
24,1,5,21.288787,20.624977,3.118755,0.240864,5,0.129178,0.051106,horizon_coverage
24,3,5,31.684450,30.777251,2.862793,0.294680,5,0.130994,0.072433,horizon_coverage
24,6,5,41.293198,40.086851,2.921318,0.356736,5,0.148907,0.102423,horizon_coverage
24,12,5,53.391115,51.475500,3.587720,0.115625,5,0.198234,0.158301,horizon_coverage
24,24,5,68.241844,65.616599,3.846907,0.190812,5,0.206034,0.210454,horizon_coverage
48,1,5,21.631964,20.905145,3.360574,0.439825,5,0.132399,0.044497,horizon_coverage
48,3,5,32.061770,31.096137,3.009078,0.581337,5,0.136621,0.066602,horizon_coverage
48,6,5,42.638558,41.533090,2.593782,0.758953,5,0.147994,0.086303,horizon_coverage
48,12,5,56.821570,55.838330,1.727551,0.251822,5,0.135779,0.089161,horizon_coverage
48,24,5,71.156824,69.442998,2.408070,0.802249,5,0.167798,0.148360,horizon_coverage
72,1,5,21.777099,21.342466,2.008807,0.834057,5,0.114956,0.032442,horizon_coverage
72,3,5,32.130707,31.497187,1.973451,0.360170,5,0.123460,0.057035,horizon_coverage
72,6,5,41.756659,41.166013,1.414224,0.181754,5,0.120460,0.072485,horizon_coverage
72,12,5,54.951088,54.456435,0.893627,0.354630,5,0.109066,0.069557,horizon_coverage
72,24,5,67.138295,67.266895,-0.193060,0.442699,1,0.103788,0.064992,horizon_coverage
168,1,5,22.016566,21.799347,0.986223,0.103429,5,0.116411,0.036268,horizon_coverage
168,3,5,32.569559,32.124078,1.367541,0.559284,5,0.118986,0.053809,horizon_coverage
168,6,5,42.266787,41.919495,0.821987,0.199145,5,0.117161,0.054595,horizon_coverage
168,12,5,55.006826,55.058066,-0.088376,0.382557,3,0.102082,0.028234,horizon_coverage
168,24,5,67.696832,67.862726,-0.240576,0.236980,0,0.100982,0.029573,horizon_coverage
